subpagina	parent_dashboard	refs_outside_registry	estado
banco-tiempo-config	banco-tiempo-dashboard	3	ok
banco-tiempo-intercambios	banco-tiempo-dashboard	3	ok
banco-tiempo-miembros	banco-tiempo-dashboard	1	parcial
banco-tiempo-servicios	banco-tiempo-dashboard	3	ok
biblioteca-catalogo	biblioteca-dashboard	13	ok
biblioteca-config	biblioteca-dashboard	3	ok
biblioteca-prestamos	biblioteca-dashboard	12	ok
biblioteca-reservas	biblioteca-dashboard	1	parcial
campanias-config	campanias-dashboard	1	parcial
campanias-estadisticas	campanias-dashboard	0	falta
campanias-listado	campanias-dashboard	15	ok
colectivos-config	flavor-colectivos-dashboard	0	falta
colectivos-listado	flavor-colectivos-dashboard	4	ok
colectivos-solicitudes	flavor-colectivos-dashboard	6	ok
comunidades-config	comunidades-dashboard	3	ok
comunidades-listado	comunidades-dashboard	22	ok
comunidades-miembros	comunidades-dashboard	14	ok
contabilidad-config	contabilidad-dashboard	1	parcial
contabilidad-dashboard	contabilidad-dashboard	11	ok
contabilidad-movimientos	contabilidad-dashboard	7	ok
cursos-config	cursos-dashboard	0	falta
cursos-inscripciones	cursos-dashboard	3	ok
cursos-listado	cursos-dashboard	4	ok
eventos-asistentes	eventos-dashboard	8	ok
eventos-calendario	eventos-dashboard	8	ok
eventos-config	eventos-dashboard	3	ok
eventos-nuevo	eventos-dashboard	7	ok
eventos-proximos	eventos-dashboard	9	ok
flavor-chat-ia-analytics	flavor-chat-config	0	falta
flavor-chat-ia-escalations	flavor-chat-config	12	ok
foros-categorias	foros-dashboard	0	falta
foros-config	foros-dashboard	0	falta
foros-moderacion	foros-dashboard	6	ok
foros-temas	foros-dashboard	1	parcial
huertos-config	huertos-dashboard	3	ok
huertos-cosechas	huertos-dashboard	2	parcial
huertos-huertanos	huertos-dashboard	2	parcial
huertos-parcelas	huertos-dashboard	15	ok
huertos-recursos	huertos-dashboard	0	falta
incidencias-abiertas	incidencias-dashboard	8	ok
incidencias-config	incidencias-dashboard	3	ok
incidencias-mapa	incidencias-dashboard	7	ok
incidencias-todas	incidencias-dashboard	11	ok
marketplace-anuncios	marketplace-dashboard	7	ok
marketplace-config	marketplace-dashboard	0	falta
marketplace-vendedores	marketplace-dashboard	2	parcial
marketplace-ventas	marketplace-dashboard	2	parcial
participacion-config	participacion-dashboard	3	ok
participacion-propuestas	participacion-dashboard	6	ok
participacion-votaciones	participacion-dashboard	6	ok
podcast-config	podcast-dashboard	0	falta
podcast-episodios	podcast-dashboard	5	ok
podcast-series	podcast-dashboard	3	ok
radio-config	flavor-radio-dashboard	0	falta
radio-locutores	flavor-radio-dashboard	0	falta
radio-programas	flavor-radio-dashboard	0	falta
reservas-calendario	reservas-dashboard	13	ok
reservas-config	reservas-dashboard	4	ok
reservas-espacios	reservas-dashboard	0	falta
reservas-pendientes	reservas-dashboard	1	parcial
socios-config	socios-dashboard	3	ok
socios-cuotas	socios-dashboard	15	ok
socios-listado	socios-dashboard	16	ok
socios-solicitudes	socios-dashboard	5	ok
talleres-config	talleres-dashboard	0	falta
talleres-inscripciones	talleres-dashboard	8	ok
talleres-listado	talleres-dashboard	3	ok
talleres-materiales	talleres-dashboard	4	ok
tramites-config	tramites-dashboard	3	ok
tramites-historial	tramites-dashboard	10	ok
tramites-pendientes	tramites-dashboard	12	ok
tramites-tipos	tramites-dashboard	7	ok
