state,date_sample,ticket_slug,depends_on,check_available,add_to_cart_success,notes
abierto,2026-04-04,nino_libre_de_3_a_13_anos,,true,true,base-ticket
abierto,2026-04-04,ticket_1750071561843,ticket_1750071606826,true,true,child-without-required
abierto,2026-04-04,ticket_1756937120980,ticket_1756937144129,true,true,child-without-required
abierto,2026-04-04,ticket_1756936729510,guiada_menu_adulto_de_14,true,true,child-without-required
festivo-local,2026-07-25,nino_libre_de_3_a_13_anos,,true,true,base-ticket
festivo-local,2026-07-25,ticket_1750071561843,ticket_1750071606826,true,true,child-without-required
festivo-local,2026-07-25,ticket_1756937120980,ticket_1756937144129,true,true,child-without-required
festivo-local,2026-07-25,ticket_1756936729510,guiada_menu_adulto_de_14,true,true,child-without-required
festivo-local,2026-07-25,visita_libre_menu_nino,visita_libre_menu_adulto,true,true,child-without-required
julio-medio-dia,2026-07-01,nino_libre_de_3_a_13_anos,,true,true,base-ticket
julio-medio-dia,2026-07-01,ticket_1750071561843,ticket_1750071606826,true,true,child-without-required
julio-medio-dia,2026-07-01,ticket_1756937120980,ticket_1756937144129,true,true,child-without-required
julio-medio-dia,2026-07-01,ticket_1756936729510,guiada_menu_adulto_de_14,true,true,child-without-required
julio-medio-dia,2026-07-01,visita_libre_menu_nino,visita_libre_menu_adulto,true,true,child-without-required
olentzero,2026-11-21,visita_libre_olentzero_adulto,,true,true,base-ticket
semana-santa,2026-04-02,nino_libre_de_3_a_13_anos,,true,true,base-ticket
semana-santa,2026-04-02,ticket_1750071561843,ticket_1750071606826,true,true,child-without-required
semana-santa,2026-04-02,ticket_1756937120980,ticket_1756937144129,true,true,child-without-required
semana-santa,2026-04-02,ticket_1756936729510,guiada_menu_adulto_de_14,true,true,child-without-required
semana-santa,2026-04-02,visita_libre_menu_nino,visita_libre_menu_adulto,true,true,child-without-required
