id,severity,categoria,hallazgo,evidencia,impacto,recomendacion
H-01,critica,cobertura-ui,"32 modulos backend sin pantalla cliente registrada","includes/modules/class-module-loader.php; mobile-apps/lib/core/modules/module_screen_registry.dart","Funcionalidad disponible en backend pero no accesible en app cliente","Implementar registro/pantallas por modulo y eliminar fallback placeholder"
H-02,alta,cobertura-ui,"28 modulos sin case en panel admin movil","includes/modules/class-module-loader.php; mobile-apps/lib/features/admin/modules_admin_screen_dynamic.dart","Admin movil incompleto con pantallas en desarrollo","Mapear todos los modulos del loader a pantallas admin o generador dinamico real"
H-03,alta,hardcode,"URL fallback hardcodeada placeholder.local en apps","mobile-apps/lib/main_admin.dart:47; mobile-apps/lib/main_client.dart:188","Riesgo de errores silenciosos y mala DX en setup","Forzar setup obligatorio sin endpoint ficticio"
H-04,alta,hardcode,"Métricas/alertas mock en dashboard admin movil","mobile-apps/lib/features/admin/dashboard_screen_v2.dart:120; :157","Indicadores no confiables para decisiones","Conectar todas las tarjetas y notificaciones con API real"
H-05,media,deuda-funcional,"76 marcadores de accion/vista no implementada en modulos","includes/modules/* (ver matriz modular)","Flujos incompletos en backend/frontend","Priorizar modulos P1 y cerrar stubs en execute_action/UX"
H-06,media,deuda-funcional,"TODOs activos en movil (30) y PHP (10)","mobile-apps/lib/**; includes/**","Riesgo de comportamientos parciales en release","Crear backlog por TODO con owner y fecha"
H-07,media,observabilidad,"174 llamadas error_log con trazas debug operativas","includes/**; admin/**; addons/**","Ruido de logs y posible exposición de contexto sensible","Introducir logger por niveles y flag de entorno"
H-08,media,ux,"Condición showDrawer siempre verdadera","mobile-apps/lib/main_client.dart:893","Navegación forzada no alineada a configuración","Corregir condición y cubrir con test widget"
H-09,media,funcional,"Builder genérico de módulos con navegación TODO","mobile-apps/lib/core/modules/builders/module_screen_builder.dart:143; :150","Pantallas genéricas no completan flujo CRUD","Implementar rutas de detalle/alta con contratos API"
H-10,baja,calidad-mensajes,"Mensajes con placeholder literal {$action_name} en i18n","includes/modules/woocommerce/class-woocommerce-module.php:140; includes/modules/banco-tiempo/class-banco-tiempo-module.php:413","Errores poco claros para usuario y soporte","Interpolar con sprintf antes de traducir"
H-11,baja,qa,"Lint PHP correcto pero sin análisis Dart en entorno","PHP_LINT_FAILED=0; DART_NOT_AVAILABLE","Calidad móvil sin verificación estática local","Ejecutar dart analyze/flutter test en CI"
H-12,media,portal-shortcodes,"Componentes de portal con lógica de ejemplo","includes/class-portal-shortcodes.php:335; :511; :543","Panel de usuario con datos no reales","Conectar notificaciones/actividad/acciones a fuentes reales"
