module_id,module_file,mobile_client_ui,mobile_admin_ui,implementation_gap_markers,status,priority
woocommerce,woocommerce/class-woocommerce-module.php,yes,yes,17,high,P1
banco_tiempo,banco-tiempo/class-banco-tiempo-module.php,yes,yes,4,medium,P2
marketplace,marketplace/class-marketplace-module.php,yes,yes,1,low,P3
grupos_consumo,grupos-consumo/class-grupos-consumo-module.php,yes,yes,1,low,P3
facturas,facturas/class-facturas-module.php,yes,yes,1,low,P3
fichaje_empleados,fichaje-empleados/class-fichaje-empleados-module.php,yes,yes,7,high,P1
eventos,eventos/class-eventos-module.php,yes,yes,0,none,P3
socios,socios/class-socios-module.php,yes,yes,1,low,P3
incidencias,incidencias/class-incidencias-module.php,yes,yes,1,low,P3
participacion,participacion/class-participacion-module.php,yes,no,1,low,P1
presupuestos_participativos,presupuestos-participativos/class-presupuestos-participativos-module.php,yes,no,5,medium,P1
avisos_municipales,avisos-municipales/class-avisos-municipales-module.php,yes,yes,4,medium,P2
advertising,advertising/class-advertising-module.php,yes,no,1,low,P1
ayuda_vecinal,ayuda-vecinal/class-ayuda-vecinal-module.php,yes,yes,1,low,P3
biblioteca,biblioteca/class-biblioteca-module.php,yes,yes,2,low,P3
bicicletas_compartidas,bicicletas-compartidas/class-bicicletas-compartidas-module.php,yes,yes,1,low,P3
carpooling,carpooling/class-carpooling-module.php,yes,no,1,low,P1
chat_grupos,chat-grupos/class-chat-grupos-module.php,yes,yes,1,low,P3
chat_interno,chat-interno/class-chat-interno-module.php,yes,yes,1,low,P3
compostaje,compostaje/class-compostaje-module.php,yes,no,1,low,P1
cursos,cursos/class-cursos-module.php,yes,yes,2,low,P3
empresarial,empresarial/class-empresarial-module.php,yes,no,1,low,P1
espacios_comunes,espacios-comunes/class-espacios-comunes-module.php,yes,yes,1,low,P3
huertos_urbanos,huertos-urbanos/class-huertos-urbanos-module.php,yes,yes,1,low,P3
multimedia,multimedia/class-multimedia-module.php,yes,no,1,low,P1
parkings,parkings/class-parkings-module.php,yes,yes,1,low,P3
podcast,podcast/class-podcast-module.php,yes,no,1,low,P1
radio,radio/class-radio-module.php,yes,no,1,low,P1
reciclaje,reciclaje/class-reciclaje-module.php,yes,yes,1,low,P3
red_social,red-social/class-red-social-module.php,yes,no,1,low,P1
talleres,talleres/class-talleres-module.php,yes,yes,1,low,P3
tramites,tramites/class-tramites-module.php,yes,yes,1,low,P3
transparencia,transparencia/class-transparencia-module.php,yes,no,1,low,P1
colectivos,colectivos/class-colectivos-module.php,yes,no,1,low,P1
foros,foros/class-foros-module.php,yes,no,1,low,P1
clientes,clientes/class-clientes-module.php,yes,no,1,low,P1
comunidades,comunidades/class-comunidades-module.php,yes,no,1,low,P1
bares,bares/class-bares-module.php,yes,yes,1,low,P2
trading_ia,trading-ia/class-trading-ia-module.php,yes,no,1,low,P1
dex_solana,dex-solana/class-dex-solana-module.php,yes,no,1,low,P1
themacle,themacle/class-themacle-module.php,yes,no,0,none,P1
reservas,reservas/class-reservas-module.php,yes,yes,1,low,P2
email_marketing,email-marketing/class-email-marketing-module.php,yes,no,1,low,P1
sello_conciencia,sello-conciencia/class-sello-conciencia-module.php,yes,no,0,none,P1
circulos_cuidados,circulos-cuidados/class-circulos-cuidados-module.php,yes,no,0,none,P1
economia_don,economia-don/class-economia-don-module.php,yes,no,0,none,P1
justicia_restaurativa,justicia-restaurativa/class-justicia-restaurativa-module.php,yes,no,0,none,P1
huella_ecologica,huella-ecologica/class-huella-ecologica-module.php,yes,no,0,none,P1
economia_suficiencia,economia-suficiencia/class-economia-suficiencia-module.php,yes,no,0,none,P1
saberes_ancestrales,saberes-ancestrales/class-saberes-ancestrales-module.php,yes,no,0,none,P1
biodiversidad_local,biodiversidad-local/class-biodiversidad-local-module.php,yes,no,0,none,P1
trabajo_digno,trabajo-digno/class-trabajo-digno-module.php,yes,no,0,none,P1
